codigo_ibge;nome;latitude;longitude;siafi_id;ddd;Unidades
4200051;Abdon Batista;-276.126;-510.233;9939;49;
4200101;Abelardo Luz;-265.716;-523.229;8001;49;
4200200;Agrolândia;-274.087;-49.822;8003;47;
4200309;Agronômica;-272.662;-49.708;8005;47;
4200408;Água Doce;-269.985;-515.528;8007;49;
4200507;Águas de Chapecó;-270.754;-529.808;8009;49;
4200556;Águas Frias;-268.794;-528.568;5577;49;
4200606;Águas Mornas;-276.963;-488.243;8011;48;
4200705;Alfredo Wagner;-277.001;-493.273;8013;48;
4200754;Alto Bela Vista;-274.333;-519.044;886;49;
4200804;Anchieta;-265.382;-533.319;8015;49;
4200903;Angelina;-275.704;-489.879;8017;48;
4201000;Anita Garibaldi;-276.897;-511.271;8019;49;
4201109;Anitápolis;-279.012;-491.316;8021;48;
4201208;Antônio Carlos;-275.191;-48.766;8023;48;
4201257;Apiúna;-270.375;-493.885;9941;47;
4201273;Arabutã;-271.587;-521.423;5597;49;
4201307;Araquari;-263.754;-487.188;8025;47;
4201406;Araranguá;-289.356;-494.918;8027;48;NHE
4201406;Araranguá;-289.356;-494.918;8027;48;UDVE
4201505;Armazém;-282.448;-490.215;8029;48;
4201604;Arroio Trinta;-269.257;-513.407;8031;49;
4201653;Arvoredo;-270.748;-524.543;5599;49;
4201703;Ascurra;-269.548;-493.783;8033;47;
4201802;Atalanta;-274.219;-497.789;8035;47;
4201901;Aurora;-273.098;-496.295;8037;47;
4201950;Balneário Arroio do Silva;-289.806;-494.237;888;48;
4202057;Balneário Barra do Sul;-264.597;-486.123;5549;47;
4202008;Balneário Camboriú;-269.926;-486.352;8039;47;NHE
4202008;Balneário Camboriú;-269.926;-486.352;8039;47;Sentinela SG
4202073;Balneário Gaivota;-291.527;-495.841;890;48;
4212809;Balneário Piçarras;-267.639;-486.717;8251;47;
4220000;Balneário Rincão;-288.314;-492.352;1192;48;
4202081;Bandeirante;-267.705;-536.413;892;49;
4202099;Barra Bonita;-26.654;-53.44;894;49;
4202107;Barra Velha;-26.637;-486.933;8041;47;
4202131;Bela Vista do Toldo;-262.746;-504.664;896;47;
4202156;Belmonte;-26.843;-535.758;5745;49;
4202206;Benedito Novo;-26.781;-493.593;8043;47;
4202305;Biguaçu;-27.496;-486.598;8045;48;
4202404;Blumenau;-269.155;-490.709;8047;47;NHE
4202404;Blumenau;-269.155;-490.709;8047;47;NHE
4202404;Blumenau;-269.155;-490.709;8047;47;UDVE
4202404;Blumenau;-269.155;-490.709;8047;47;LACEN
4202438;Bocaina do Sul;-277.455;-499.423;898;49;
4202503;Bom Jardim da Serra;-283.377;-496.373;8389;49;
4202537;Bom Jesus;-267.326;-523.919;900;49;
4202578;Bom Jesus do Oeste;-266.927;-530.967;902;49;
4202602;Bom Retiro;-27.799;-49.487;8049;49;
4202453;Bombinhas;-271.382;-485.146;5537;47;
4202701;Botuverá;-272.007;-490.689;8051;47;
4202800;Braço do Norte;-282.681;-491.701;8053;48;
4202859;Braço do Trombudo;-273.586;-498.821;5557;47;
4202875;Brunópolis;-273.058;-508.684;904;49;
4202909;Brusque;-270.977;-489.107;8055;47;
4203006;Caçador;-267.757;-51.012;8057;49;
4203105;Caibi;-270.741;-532.458;8059;49;
4203154;Calmon;-265.942;-51.095;5553;49;
4203204;Camboriú;-270.241;-486.503;8061;47;
4203303;Campo Alegre;-26.195;-492.676;8063;47;
